"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"alpha",192.952582185,192.947705,1.78322641615354,1.766554965,190.0257725,195.9088005,1.00074825674326,4490.0682923968,8441.06884192694
"b1",3.43366961965154,3.4256838,1.3289826811116,1.32158289417,1.24123082,5.61020484,1.00026889009672,38288.4932594385,19497.0537417151
"b2",-0.493602407646907,-0.495734525,1.3433510595955,1.339230837945,-2.70174524,1.713200155,1.00008247410742,38539.0961628208,20141.3305380809
"g1[1]",3.14098762388662,3.14476155,1.67523405795903,1.67245397235,0.3697573325,5.890428285,1.00003909806458,39739.4708090202,20045.0836366321
"g1[2]",-0.364009743418133,-0.38026953,1.67974740039278,1.670242355691,-3.14289661,2.40497514,1.00014510476004,37929.0129219966,20075.9990652771
"g1[3]",-0.101670869303537,-0.09792749,1.6128829130663,1.581834984408,-2.763384945,2.549940085,0.999971949957662,38621.06774939,18463.8001064446
"g1[4]",-0.208249336708803,-0.207935795,1.84483790208495,1.828606749123,-3.254774055,2.81997422,1.00010712981124,37798.7299685108,19097.2308333067
"g1[5]",-0.261304486953475,-0.25697759,1.70656229006697,1.706138577633,-3.06902502,2.553914905,0.9999939621694,38638.8492703941,19967.8389790636
"g2[1]",-0.446310605051771,-0.45490554,1.70073351213484,1.702793498448,-3.251160865,2.360295615,1.00012351745127,37631.5754660711,19706.2561662588
"g2[2]",-2.01798416826768,-2.017989,1.70824819477368,1.69457273349,-4.83619064,0.765350771,1.00039213922436,37665.3191252048,19890.9336415491
"g2[3]",3.16159076009678,3.1640304,1.60514765173866,1.6083185496,0.510712423,5.784045275,1.00012215785665,37824.8593070078,20301.9142307965
"g2[4]",-0.177449875127949,-0.1648512,1.87109486789411,1.88409037803,-3.271110725,2.880945045,1.0002540219046,34125.0966085283,19595.0653629829
"g2[5]",-1.41722417266167,-1.41402065,1.7000757337859,1.70218529145,-4.21458566,1.36382152,0.999973547032005,39361.0748238324,20088.9311742195
"sigma_y",8.84560720109583,8.8340759,0.435261209606841,0.43488105045,8.14897946,9.578573635,1.00015553585157,14363.2854052201,17188.6061236645
"tau[1]",18.8076309035833,18.749497,1.26668784199176,1.2468065547,16.84346375,20.9801307,1.00021763206078,5854.59495502949,11332.1656144541
"tau[2]",1.32956824108348,1.027776,1.14305808752912,1.001259617736,0.0790251178,3.637055855,1.00009537218948,12844.6095383537,13040.5157321811
"tau[3]",1.64616493579068,1.2550992,1.42610142870804,1.243304223546,0.0963729942,4.51938021,1.00041396913624,10546.3797783048,13299.7877470988
"sigma_ema[1]",0.653261791115,0.653194185,0.00837245995287679,0.00833920987200004,0.6395695915,0.6672194605,1.00031205779899,49452.1135454124,16663.6077822543
"sigma_ema[2]",0.64957921026875,0.649478395,0.00826151551155791,0.008214589929,0.6362226535,0.6633294105,1.00008994732808,46445.79761547,17410.137458137
"sigma_ema[3]",0.645442867987083,0.645322005,0.00831891923283561,0.00834461394900012,0.6319942665,0.6593468025,1.00037116582859,45052.3772234376,17504.067713105
"sigma_ema[4]",0.711213719365,0.711083915,0.00906806978172021,0.00900101285999999,0.6965642055,0.72643918,1.00004373386229,45296.8942099887,17845.0616935679
"sigma_ema[5]",0.63461308930375,0.634480385,0.00812209684074417,0.00817157229000005,0.6213840505,0.6481126855,1.00020803318656,50762.0165000285,17229.671115997
